metric	value
mean_p_correct	0.6652740094086328
rmse_avg	0.25351091218010346
obj1_top	0.659070104370041
obj1_bottom	0.6442072819781874
obj1_delta_bottom_vs_top	-0.014862822391853547
obj2_top	0.6369017887660208
obj2_bottom	0.675206506693786
obj2_delta_bottom_vs_top	0.03830471792776524
obj1_right	0.678152346187782
obj1_left	0.6699849568949898
obj1_delta_left_vs_right	-0.008167389292792149
obj2_right	0.6633812034614193
obj2_left	0.6800465960813469
obj2_delta_left_vs_right	0.01666539261992761
o1top_o2bot	0.6326332458205861
o1bot_o2top	0.5866234443236824
delta_o1top_o2bot_vs_o1bot_o2top	0.0460098014969037
