metric	value
mean_accuracy	0.4541015625
min_accuracy	0.08333333333333333
max_accuracy	0.8125
obj1_top	0.4955729166666666
obj1_bottom	0.3856770833333333
obj1_delta_bottom_vs_top	-0.1098958333333333
obj2_top	0.33697916666666666
obj2_bottom	0.5625
obj2_delta_bottom_vs_top	0.22552083333333334
obj1_right	0.5106770833333334
obj1_left	0.4390625
obj1_delta_left_vs_right	-0.07161458333333337
obj2_right	0.41171875
obj2_left	0.4927083333333333
obj2_delta_left_vs_right	0.08098958333333328
o1top_o2bot	0.6116666666666667
o1bot_o2top	0.22666666666666666
delta_o1top_o2bot_vs_o1bot_o2top	0.385
