metric	value
mean_p_correct	0.49944358142150974
min_p_correct	0.3533246198823255
max_p_correct	0.6272852021820946
rmse_avg	0.15981647159172344
obj1_top	0.5222785854317117
obj1_bottom	0.4685945005596396
obj1_delta_bottom_vs_top	-0.0536840848720721
obj2_top	0.4300419623682566
obj2_bottom	0.5732464561708577
obj2_delta_bottom_vs_top	0.14320449380260108
obj1_right	0.521058079249092
obj1_left	0.48859056164147485
obj1_delta_left_vs_right	-0.032467517607617125
obj2_right	0.4776188837708033
obj2_left	0.5154564730641177
obj2_delta_left_vs_right	0.03783758929331438
o1top_o2bot	0.5901448377501829
o1bot_o2top	0.4014368077002814
delta_o1top_o2bot_vs_o1bot_o2top	0.1887080300499015
