metric	value
mean_accuracy	0.85107421875
min_accuracy	0.4166666666666667
max_accuracy	1.0
obj1_top	0.8815104166666666
obj1_bottom	0.8322916666666667
obj1_delta_bottom_vs_top	-0.04921874999999998
obj2_top	0.7270833333333334
obj2_bottom	0.9924479166666667
obj2_delta_bottom_vs_top	0.26536458333333324
obj1_right	0.84453125
obj1_left	0.8502604166666667
obj1_delta_left_vs_right	0.005729166666666785
obj2_right	0.8981770833333332
obj2_left	0.8450520833333333
obj2_delta_left_vs_right	-0.05312499999999998
o1top_o2bot	0.9966666666666666
o1bot_o2top	0.7508333333333332
delta_o1top_o2bot_vs_o1bot_o2top	0.24583333333333335
