model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0000_size0.3.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,25.34375,22.015625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0000_size0.2.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,25.625,21.984375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0000_size0.1.png,Is the magenta cube closer to the camera than the yellow sphere? Answer with yes or no.,Yes,Yes,25.8125,22.203125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0001_size0.3.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,No,22.671875,23.125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0001_size0.2.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,No,22.671875,23.0,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0001_size0.1.png,Is the yellow sphere closer to the camera than the green sphere? Answer with yes or no.,Yes,Yes,23.0625,22.796875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0002_size0.3.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,24.265625,23.5,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0002_size0.2.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,24.578125,23.15625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0002_size0.1.png,Is the blue cube closer to the camera than the black sphere? Answer with yes or no.,Yes,Yes,24.421875,22.9375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0003_size0.3.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,23.09375,22.75,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0003_size0.2.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,23.25,22.71875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0003_size0.1.png,Is the cyan cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,23.265625,22.875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0004_size0.3.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,23.734375,22.421875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0004_size0.2.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,24.40625,22.796875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0004_size0.1.png,Is the cyan cube closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,24.578125,23.0,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0005_size0.3.png,Is the black cube closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,23.375,22.1875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0005_size0.2.png,Is the black cube closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,24.0,21.84375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0005_size0.1.png,Is the black cube closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,24.3125,22.109375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0006_size0.3.png,Is the green sphere closer to the camera than the black cube? Answer with yes or no.,Yes,No,23.21875,23.96875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0006_size0.2.png,Is the green sphere closer to the camera than the black cube? Answer with yes or no.,Yes,No,23.125,23.453125,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0006_size0.1.png,Is the green sphere closer to the camera than the black cube? Answer with yes or no.,Yes,Yes,23.0625,22.71875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0007_size0.3.png,Is the black sphere closer to the camera than the green cube? Answer with yes or no.,Yes,No,22.53125,23.71875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0007_size0.2.png,Is the black sphere closer to the camera than the green cube? Answer with yes or no.,Yes,No,22.109375,23.34375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0007_size0.1.png,Is the black sphere closer to the camera than the green cube? Answer with yes or no.,Yes,No,22.078125,22.921875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0008_size0.3.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,24.234375,22.578125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0008_size0.2.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,24.53125,22.5625,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0008_size0.1.png,Is the cyan sphere closer to the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,24.234375,22.703125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0009_size0.3.png,Is the black cube closer to the camera than the magenta cube? Answer with yes or no.,Yes,No,22.421875,23.484375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0009_size0.2.png,Is the black cube closer to the camera than the magenta cube? Answer with yes or no.,Yes,No,22.90625,23.34375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0009_size0.1.png,Is the black cube closer to the camera than the magenta cube? Answer with yes or no.,Yes,No,23.0625,23.46875,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0010_size0.3.png,Is the black cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,24.578125,22.5,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0010_size0.2.png,Is the black cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,25.0,22.4375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0010_size0.1.png,Is the black cube closer to the camera than the green cube? Answer with yes or no.,Yes,Yes,25.0625,22.578125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0011_size0.3.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,Yes,No,23.03125,23.609375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0011_size0.2.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,Yes,No,22.984375,23.859375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0011_size0.1.png,Is the cyan sphere closer to the camera than the black cube? Answer with yes or no.,Yes,No,22.84375,23.234375,False
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0012_size0.3.png,Is the green cube closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,23.15625,22.46875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0012_size0.2.png,Is the green cube closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,23.828125,22.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0012_size0.1.png,Is the green cube closer to the camera than the red cube? Answer with yes or no.,Yes,Yes,24.296875,22.1875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0013_size0.3.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,26.0625,22.125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0013_size0.2.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,25.96875,22.234375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0013_size0.1.png,Is the green cube closer to the camera than the blue sphere? Answer with yes or no.,Yes,Yes,26.015625,22.296875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0014_size0.3.png,Is the black sphere closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,23.265625,22.71875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0014_size0.2.png,Is the black sphere closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,23.078125,22.75,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0014_size0.1.png,Is the black sphere closer to the camera than the cyan sphere? Answer with yes or no.,Yes,Yes,23.15625,22.8125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0015_size0.3.png,Is the cyan sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,23.421875,22.203125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0015_size0.2.png,Is the cyan sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,24.328125,22.125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0015_size0.1.png,Is the cyan sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,24.71875,22.453125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0016_size0.3.png,Is the red sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,25.375,23.3125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0016_size0.2.png,Is the red sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,25.84375,22.71875,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0016_size0.1.png,Is the red sphere closer to the camera than the magenta cube? Answer with yes or no.,Yes,Yes,25.9375,22.78125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0017_size0.3.png,Is the cyan cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,23.609375,22.8125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0017_size0.2.png,Is the cyan cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,23.78125,22.734375,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0017_size0.1.png,Is the cyan cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,24.109375,22.78125,True
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_400K-20251108_180221,output/sizevar/close/0018_size0.3.png,Is the blue cube closer to the camera than the yellow cube? Answer with yes or no.,Yes,Yes,26.3125,21.8125,True
