model_path,text,image,Yes_logit,No_logit
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0000.png,22.28125,22.859375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0001.png,23.015625,22.625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0002.png,22.53125,22.4375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0003.png,22.203125,22.21875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0004.png,22.109375,22.09375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0005.png,22.609375,22.25
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0006.png,22.875,22.375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0007.png,22.953125,22.390625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0008.png,22.46875,22.4375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0009.png,22.640625,22.4375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0010.png,22.15625,22.296875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0011.png,21.71875,22.09375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0012.png,21.40625,21.90625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0013.png,21.703125,22.359375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0014.png,22.140625,22.625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0015.png,22.640625,22.796875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0016.png,22.21875,22.953125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0017.png,22.90625,22.765625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0018.png,22.40625,22.5
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0019.png,21.953125,22.28125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0020.png,21.9375,22.171875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0021.png,22.453125,22.296875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0022.png,22.734375,22.390625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0023.png,22.921875,22.4375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0024.png,22.46875,22.4375
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0025.png,22.65625,22.421875
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0026.png,22.140625,22.265625
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0027.png,21.703125,22.125
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0028.png,21.40625,22.0
/app/DATA/NVILA-Lite-2B-DATA_SCALE_EXP_800K-20251108_180221,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0029.png,21.765625,22.53125
